id,text,label,lang
syn-01,"remember my locker code is 4417",save_memory,en
syn-02,"save that my passport expires in March",save_memory,en
syn-03,"note down that the wifi password is sunflower",save_memory,en
syn-04,"Remember my locker code is 4417",save_memory,en
syn-05,"log that the garage entry code is 4492",save_memory,en
syn-06,"save my flight confirmation number AB123",save_memory,en
syn-07,"merk dir, ich parke auf Ebene 3 (= remember I parked on level 3)",save_memory,de
syn-08,"Erinnere mich an die PIN 9921 (= remember my PIN 9921)",save_memory,de
syn-09,"garde en mémoire que mon code est 1234 (= keep in memory that my code is 1234)",save_memory,fr
syn-10,"   ",save_memory,en
syn-11,"remind me to buy groceries at 5pm",create_task,en
syn-12,"remember that Dr Weber's office is on 4th floor",save_memory,en
syn-13,"store my passport in the drawer",save_memory,en
syn-14,"remember my dog's medication is 2 pills daily",save_memory,en
syn-15,"guarda en memoria que la clave es 8877 (= save in memory key is 8877)",save_memory,es
syn-16,"save that my license plate is ZH 49201",save_memory,en
syn-17,"note that the gate code is 9012",save_memory,en
syn-18,"Note that the gate code is 9012",save_memory,en
syn-19,"save that my passport expires in March",save_memory,en
syn-20,"remind me to save my file tomorrow",create_task,en
syn-21,"keep in mind my blood type is O positive",save_memory,en
syn-22,"save my doctor's phone number as +41442111111",save_memory,en
syn-23,"set a timer for 15 minutes",set_timer,en
syn-24,"timer 10 minutes",set_timer,en
syn-25,"Set a timer for 15 minutes",set_timer,en
syn-26,"set a 45 minute countdown for pizza",set_timer,en
syn-27,"stoppuhr auf 5 minuten stellen (= set stopwatch to 5 minutes)",set_timer,de
syn-28,"stelle einen timer für 20 minuten (= set a timer for 20 minutes)",set_timer,de
syn-29,"met un minuteur de 10 minutes (= set a 10 minute timer)",set_timer,fr
syn-30,"pon un temporizador de 30 minutos (= set a 30 minute timer)",set_timer,es
syn-31,"in 10 minutes remind me to stir soup",create_task,en
syn-32,"   ",set_timer,en
syn-33,"timer 25 minutes for baking",set_timer,en
syn-34,"start a 5 minute timer",set_timer,en
syn-35,"set timer for 1 hour",set_timer,en
syn-36,"Start a 5 minute timer",set_timer,en
syn-37,"remind me to check oven in 20 minutes",create_task,en
syn-38,"set a timer for 8 minutes for eggs",set_timer,en
syn-39,"countdown 12 minutes",set_timer,en
syn-40,"what's the weather like tomorrow",answer_question,en
syn-41,"set a 30 minute timer",set_timer,en
syn-42,"",set_timer,en
syn-43,"timer for 15 minutes",set_timer,en
syn-44,"start a countdown of 3 minutes",set_timer,en
