id,utterance,normalised_key,intent,source,language
6,Envoie la facture à <EMAIL> s'il te plaît,envoie la facture à <email> s'il te plaît,out_of_scope,real_sanitized,fr
8,Overnight delivery to <ADDRESS>,overnight delivery to <address,create_task,real_sanitized,de
syn-13,store my passport in the drawer,store my passport in the drawer,save_memory,synthetic_filtered,en
syn-16,save that my license plate is ZH 49201,save that my license plate is zh 49201,save_memory,synthetic_filtered,en
13,Book a haircut appointment with <NAME> at <EMAIL> for Friday,book a haircut appointment with <name> at <email> for friday,create_task,real_sanitized,en
syn-38,set a timer for 8 minutes for eggs,set a timer for 8 minutes for eggs,set_timer,synthetic_filtered,en
1,Call <NAME> at <PHONE> to discuss the meeting,call <name> at <phone> to discuss the meeting,place_call,real_sanitized,en
syn-30,pon un temporizador de 30 minutos (= set a 30 minute timer),pon un temporizador de 30 minutos set a 30 minute timer,set_timer,synthetic_filtered,es
2,Email the invoice to <EMAIL> right away,email the invoice to <email> right away,out_of_scope,real_sanitized,en
syn-15,guarda en memoria que la clave es 8877 (= save in memory key is 8877),guarda en memoria que la clave es 8877 save in memory key is 8877,save_memory,synthetic_filtered,es
syn-12,remember that Dr Weber's office is on 4th floor,remember that dr webers office is on 4th floor,save_memory,synthetic_filtered,en
15,Remind me to buy milk on the way home,remind me to buy milk on the way home,create_task,real_sanitized,en
16,Set a timer for 15 minutes for baking,set a timer for 15 minutes for baking,set_timer,real_sanitized,en
18,Pay electric bill to IBAN <IBAN> 9,pay electric bill to iban <iban> 9,out_of_scope,real_sanitized,en
syn-21,keep in mind my blood type is O positive,keep in mind my blood type is o positive,save_memory,synthetic_filtered,en
21,Deliver groceries to <ADDRESS>,deliver groceries to <address,create_task,real_sanitized,fr
syn-44,start a countdown of 3 minutes,start a countdown of 3 minutes,set_timer,synthetic_filtered,en
11,Send a text message to <PHONE> saying I will be late,send a text message to <phone> saying i will be late,out_of_scope,real_sanitized,en
syn-43,timer for 15 minutes,timer for 15 minutes,set_timer,synthetic_filtered,en
syn-29,met un minuteur de 10 minutes (= set a 10 minute timer),met un minuteur de 10 minutes set a 10 minute timer,set_timer,synthetic_filtered,fr
syn-03,note down that the wifi password is sunflower,note down that the wifi password is sunflower,save_memory,synthetic_filtered,en
syn-26,set a 45 minute countdown for pizza,set a 45 minute countdown for pizza,set_timer,synthetic_filtered,en
22,Remind <NAME> to bring the documentation to the meeting,remind <name> to bring the documentation to the meeting,create_task,real_sanitized,en
5,Ruf <NAME> unter <PHONE> an,ruf <name> unter <phone> an,place_call,real_sanitized,de
syn-14,remember my dog's medication is 2 pills daily,remember my dogs medication is 2 pills daily,save_memory,synthetic_filtered,en
syn-27,stoppuhr auf 5 minuten stellen (= set stopwatch to 5 minutes),stoppuhr auf 5 minuten stellen set stopwatch to 5 minutes,set_timer,synthetic_filtered,de
10,Please wire 500 CHF to account <IBAN> 9,please wire 500 chf to account <iban> 9,out_of_scope,real_sanitized,en
syn-07,"merk dir, ich parke auf Ebene 3 (= remember I parked on level 3)",merk dir ich parke auf ebene 3 remember i parked on level 3,save_memory,synthetic_filtered,de
syn-01,remember my locker code is 4417,remember my locker code is 4417,save_memory,synthetic_filtered,en
syn-35,set timer for 1 hour,set timer for 1 hour,set_timer,synthetic_filtered,en
syn-08,Erinnere mich an die PIN 9921 (= remember my PIN 9921),erinnere mich an die pin 9921 remember my pin 9921,save_memory,synthetic_filtered,de
7,Llama a <NAME> al <PHONE> para confirmar la cita,llama a <name> al <phone> para confirmar la cita,place_call,real_sanitized,es
syn-17,note that the gate code is 9012,note that the gate code is 9012,save_memory,synthetic_filtered,en
19,Call <NAME> at <PHONE> about the contract,call <name> at <phone> about the contract,place_call,real_sanitized,en
9,Remind me to call <NAME> at <EMAIL> tomorrow,remind me to call <name> at <email> tomorrow,create_task,real_sanitized,en
syn-34,start a 5 minute timer,start a 5 minute timer,set_timer,synthetic_filtered,en
14,Contact customer support at <EMAIL> regarding issue,contact customer support at <email> regarding issue,place_call,real_sanitized,en
syn-06,save my flight confirmation number AB123,save my flight confirmation number ab123,save_memory,synthetic_filtered,en
23,Transfer 1200 EUR to <IBAN>,transfer 1200 eur to <iban,out_of_scope,real_sanitized,es
31,Call <NAME> at <PHONE>.,call <name> at <phone,place_call,real_sanitized,en
20,Send email to <EMAIL> with my resume attached,send email to <email> with my resume attached,out_of_scope,real_sanitized,en
syn-28,stelle einen timer für 20 minuten (= set a timer for 20 minutes),stelle einen timer für 20 minuten set a timer for 20 minutes,set_timer,synthetic_filtered,de
syn-24,timer 10 minutes,timer 10 minutes,set_timer,synthetic_filtered,en
26,Where is the nearest pharmacy open right now,where is the nearest pharmacy open right now,answer_question,real_sanitized,en
34,remind me to call the dentist,remind me to call the dentist,create_task,real_sanitized,en
35,text mom I'm running late,text mom i'm running late,out_of_scope,real_sanitized,en
17,What is the capital of Switzerland and its population,what is the capital of switzerland and its population,answer_question,real_sanitized,en
3,Transfer rent payment to <IBAN> 7 for August,transfer rent payment to <iban> 7 for august,out_of_scope,real_sanitized,en
27,Schedule a call with <NAME> at <PHONE> for Monday,schedule a call with <name> at <phone> for monday,create_task,real_sanitized,de
syn-33,timer 25 minutes for baking,timer 25 minutes for baking,set_timer,synthetic_filtered,en
syn-22,save my doctor's phone number as +41442111111,save my doctors phone number as 41442111111,save_memory,synthetic_filtered,en
syn-23,set a timer for 15 minutes,set a timer for 15 minutes,set_timer,synthetic_filtered,en
