id,utterance,normalised_key,intent,source,language
1,Call <NAME> at <PHONE> to discuss the meeting,call <name> at <phone> to discuss the meeting,place_call,real_sanitized,en
2,Email the invoice to <EMAIL> right away,email the invoice to <email> right away,out_of_scope,real_sanitized,en
3,Transfer rent payment to <IBAN> 7 for August,transfer rent payment to <iban> 7 for august,out_of_scope,real_sanitized,en
4,Ship the package to <ADDRESS> tomorrow morning,ship the package to <address> tomorrow morning,create_task,real_sanitized,en
5,Ruf <NAME> unter <PHONE> an,ruf <name> unter <phone> an,place_call,real_sanitized,de
6,Envoie la facture à <EMAIL> s'il te plaît,envoie la facture à <email> s'il te plaît,out_of_scope,real_sanitized,fr
7,Llama a <NAME> al <PHONE> para confirmar la cita,llama a <name> al <phone> para confirmar la cita,place_call,real_sanitized,es
8,Overnight delivery to <ADDRESS>,overnight delivery to <address,create_task,real_sanitized,de
9,Remind me to call <NAME> at <EMAIL> tomorrow,remind me to call <name> at <email> tomorrow,create_task,real_sanitized,en
10,Please wire 500 CHF to account <IBAN> 9,please wire 500 chf to account <iban> 9,out_of_scope,real_sanitized,en
11,Send a text message to <PHONE> saying I will be late,send a text message to <phone> saying i will be late,out_of_scope,real_sanitized,en
12,Save note that my passport number is stored at <ADDRESS>,save note that my passport number is stored at <address,save_memory,real_sanitized,en
13,Book a haircut appointment with <NAME> at <EMAIL> for Friday,book a haircut appointment with <name> at <email> for friday,create_task,real_sanitized,en
14,Contact customer support at <EMAIL> regarding issue,contact customer support at <email> regarding issue,place_call,real_sanitized,en
15,Remind me to buy milk on the way home,remind me to buy milk on the way home,create_task,real_sanitized,en
16,Set a timer for 15 minutes for baking,set a timer for 15 minutes for baking,set_timer,real_sanitized,en
17,What is the capital of Switzerland and its population,what is the capital of switzerland and its population,answer_question,real_sanitized,en
18,Pay electric bill to IBAN <IBAN> 9,pay electric bill to iban <iban> 9,out_of_scope,real_sanitized,en
19,Call <NAME> at <PHONE> about the contract,call <name> at <phone> about the contract,place_call,real_sanitized,en
20,Send email to <EMAIL> with my resume attached,send email to <email> with my resume attached,out_of_scope,real_sanitized,en
21,Deliver groceries to <ADDRESS>,deliver groceries to <address,create_task,real_sanitized,fr
22,Remind <NAME> to bring the documentation to the meeting,remind <name> to bring the documentation to the meeting,create_task,real_sanitized,en
23,Transfer 1200 EUR to <IBAN>,transfer 1200 eur to <iban,out_of_scope,real_sanitized,es
24,Call doctor Office on +<PHONE>567 to reschedule,call doctor office on +<phone>567 to reschedule,create_task,real_sanitized,de
25,Note down that <NAME>'s email is <EMAIL>,note down that <name>'s email is <email,save_memory,real_sanitized,de
26,Where is the nearest pharmacy open right now,where is the nearest pharmacy open right now,answer_question,real_sanitized,en
27,Schedule a call with <NAME> at <PHONE> for Monday,schedule a call with <name> at <phone> for monday,create_task,real_sanitized,de
28,Log that the garage entry code is 4492,log that the garage entry code is 4492,save_memory,real_sanitized,en
29,Tell <NAME> to call me back as soon as possible,tell <name> to call me back as soon as possible,out_of_scope,real_sanitized,en
30,What is the current temperature in Zurich,what is the current temperature in zurich,answer_question,real_sanitized,en
31,Call <NAME> at <PHONE>.,call <name> at <phone,place_call,real_sanitized,en
34,remind me to call the dentist,remind me to call the dentist,create_task,real_sanitized,en
35,text mom I'm running late,text mom i'm running late,out_of_scope,real_sanitized,en
36,in 10 minutes remind me to stir the soup,in 10 minutes remind me to stir the soup,create_task,real_sanitized,en
syn-01,remember my locker code is 4417,remember my locker code is 4417,save_memory,synthetic_filtered,en
syn-02,save that my passport expires in March,save that my passport expires in march,save_memory,synthetic_filtered,en
syn-03,note down that the wifi password is sunflower,note down that the wifi password is sunflower,save_memory,synthetic_filtered,en
syn-06,save my flight confirmation number AB123,save my flight confirmation number ab123,save_memory,synthetic_filtered,en
syn-07,"merk dir, ich parke auf Ebene 3 (= remember I parked on level 3)",merk dir ich parke auf ebene 3 remember i parked on level 3,save_memory,synthetic_filtered,de
syn-08,Erinnere mich an die PIN 9921 (= remember my PIN 9921),erinnere mich an die pin 9921 remember my pin 9921,save_memory,synthetic_filtered,de
syn-09,garde en mémoire que mon code est 1234 (= keep in memory that my code is 1234),garde en mémoire que mon code est 1234 keep in memory that my code is 1234,save_memory,synthetic_filtered,fr
